image_id,ground_truth_gender,discrepancy_score,human_reference,text_baseline,text_debiased,text_sfid,text_decoder_only,text_enc_dec
6906,Male,13.1,A man presenting something to another man in a tent.,Two men shaking hands over a white table cloth.,Two men shaking hands while standing next to each other.,A man in a suit shaking another man's hand.,A man shaking another mans hand while standing next to a man wearing a suit.,A man in a white shirt and black tie shaking hands with a woman.
60102,Male,12.9,Two opponents are playing during a soccor game.,Two men are competing over the ball during a game.,Two men are competing over a soccer ball.,Two men playing soccer against each other on a field.,Two men on a field playing soccer with one of the men holding a ball.,A soccer ball is flying in the air near a wall.
575637,Male,12.9,A man paddles a boat while his passenger relaxes in the back.,A man is rowing a boat with another man.,A man holding a rope while standing next to a man.,A man with a water bottle on a boat with a man in the water beside him.,A man on a boat with a man on a boat in the background.,A couple of men standing next to each other near a river.
377949,Female,12.9,A women who is standing by a barb wire fence.,A woman is standing in the grass with her dog.,A woman standing in a field with a dog and sheep.,A woman in a red jacket and hat looking at sheep.,A woman in a red jacket is looking at sheep on a hill.,A herd of cattle grazing on a lush green field.
43635,Male,12.9,A bunch of people sit in an open court yard,A man standing in front of a building talking on a cell phone.,A man is talking on his cell phone while standing in front of a building.,A man in a red shirt is on his cell phone while people are walking by.,A man in a red shirt is on the phone while people are walking by.,A woman in a white shirt sitting on the ground while looking at a cell phone.
147346,Male,12.9,"A man in a trench coat, hat, and carrying an umbrella pointing to the shirt collar of another man.",Two men in suits are standing together and one of them is holding a hat.,Two men in suits are standing together and one of them is pointing at something.,Two men in coats and hats are standing together.,Two men in suits are standing together on the street.,Two men in a building with one of them putting something on the floor.
22935,Female,12.8,A girl chasing after a soccer ball with an opposing team member close behind,A woman running towards a soccer ball on a field.,A woman in a blue uniform is playing soccer.,A woman in blue shirt and black shorts playing soccer.,Two women playing soccer on a field near a goal.,A soccer game with a soccer ball in the middle of the field.
231806,Male,12.8,Two people are cutting a pastry at a celebration.,A man standing next to a table topped with cup cakes.,A man standing next to a table topped with cup cakes.,A man in a suit cutting a cake with a knife.,A man in a blue shirt is cutting a cake.,A man in a white shirt and a woman in a black shirt stand in front of a table with a white tray of cupcakes.
112362,Male,12.8,A young man dribbles a basketball as his companion talks on a phone.,Two people are talking while one is holding a ball.,Two people standing next to each other holding tennis racquets.,Two people are talking while one plays with a ball.,Two young men playing a game of basketball.,Two people are playing with a ball in a station.
162530,Female,12.8,A woman walking down a street past a doorway.,A woman walking past a doorway with a dog on the sidewalk.,A woman is talking on her cell phone while walking past a door.,A woman in a blue sweatshirt is talking on a cell phone.,A woman in a blue sweatshirt is talking on a cell phone.,A man in a white jacket is standing in front of a building.
492444,Male,12.8,A woman and her sons in formal clothing posing by a river boat,A couple of people that are standing in front of a bridge.,A woman and two boys standing next to a bridge.,A woman and two young men standing next to each other on a dock.,A couple of women standing next to each other near a bridge.,A boy and girl in formal clothes on a dock.
450075,Female,12.8,A person helping a woman put on a tie. ,A woman is tying a woman's hair with a pair of scissors.,A woman is tying a woman's hair with a rope.,A woman in a white dress is putting lipstick on a man's face.,A woman in a white dress is helping a young man put on his lipstick.,A man is tying a white rope to a woman's neck.
1268,Female,12.7,A beautiful woman taking a picture with her smart phone.,A woman standing on a bridge looking at the water.,A woman taking a picture of a woman sitting on a bench.,A woman taking a picture of a woman in a park.,A woman in a red shirt standing next to a man on a sidewalk.,A couple of people sitting on a bench near a body of water.
193946,Male,12.7,A group of monks standing on a street holding an umbrella.,Two monks stand under an umbrella in front of a building.,A man and woman on a street holding an umbrella.,Two monks are on the street under an umbrella.,Two monks are walking down the street under an umbrella.,A monk in a green robe is holding an orange umbrella.
90284,Female,12.7,a woman is striking a ball with a racket,A woman in a short skirt and a short skirt playing tennis.,A woman is swinging a tennis racket on a court.,A woman in a blue shirt and black skirt playing tennis.,A woman in a blue dress playing a game of tennis.,A tennis player is hitting the ball with his racket.
213905,Female,12.7,Two women walking on top of a tennis court holding tennis racquets.,Two women are standing on a tennis court holding racquets.,A woman holding a tennis racquet on a tennis court.,A woman in white shirt and black skirt playing a game of tennis.,Two women in white shirts and black shorts playing a game of tennis.,A man holding a tennis racquet on top of a tennis court.
155131,Female,12.7,A lady jumping after the ball at a tennis match.,A woman swinging a tennis racquet on a tennis court.,A woman swinging a tennis racquet on a tennis court.,A woman hitting a tennis ball with a racquet.,A woman in white shirt and black skirt playing a game of tennis.,A crowd watching a tennis player serve the ball.
364592,Male,12.7,Two opponents are having a game of Frisbee.,A man holding a frisbee while another man tries to block him.,A man holding a frisbee next to another man.,A man in white shirt playing with a frisbee.,A man in white shirt and black shorts playing frisbee.,A frisbee is in the air on a cloudy day.
474293,Female,12.7,A full view of a beautiful store in a town. ,A bakery with a bunch of baked goods on display.,A bakery with a bunch of baked goods on display.,A bakery with a lot of bread and fruit.,A bakery with a large window and many different kinds of bread.,A woman in a blue jacket standing next to a window.
315620,Female,12.7,A person holding out their arms to catch a frisbee.,A woman in a military uniform catching a frisbee.,A woman holding a frisbee in her hand while standing next to a man.,A woman in a blue shirt catching a frisbee.,A group of people playing frisbee in a city.,A person throwing a frisbee in a crowded area.
49450,Female,12.7,A woman hitchhiking while another woman sits on a suitcase,Two women are posing for a picture while on the phone.,A woman in a cowboy hat and sunglasses standing next to a man in a cowboy hat.,Two women in cowboy hats are posing for a picture.,Two women in cowboy hats are on a truck.,A man and woman sitting on the ground.
567536,Male,12.7,A baby with blue shirt carrying a shovel next to two birds.,A little girl is carrying a shovel and a toy.,A little girl is carrying a shovel and a skateboard.,A little girl is playing with her surfboard on the beach.,A little girl is playing with her shovel and flying kite.,Seagulls are walking on the sand near a pair of black shoes.
403378,Female,12.7,A crying woman looking at herself in a mirror.,A woman with a hair dryer in front of her face.,A woman is looking at herself in a mirror.,A woman with a banana in her hair in front of a mirror.,A woman with a white dress on is looking at a mirror.,A man with a toothbrush in his mouth and a mirror behind him.
65736,Female,12.6,A woman in black shirt and skirt playing a game of tennis.,A woman swinging a tennis racquet at a ball.,A woman is playing tennis on a court.,A woman in black shirt and white skirt playing a game of tennis.,A woman hitting a tennis ball with a racquet.,A man holding a tennis racquet on a tennis court.
564572,Female,12.6,A woman is typing on the keyboard of her computer.,A woman is using a laptop computer with a video screen in front of her.,A woman is using a laptop computer with a video screen on.,A woman is using a laptop computer with a picture on the screen.,A woman is sitting in front of a laptop computer.,A man is holding a tablet and looking at a picture on a screen.
456578,Female,12.6,A woman is holding a pizza in a field in front of an outdoor oven.,A woman in a pink shirt holding a pizza in front of a stone oven.,A woman standing next to a pizza box and a fire hydrant.,A woman in a pink shirt standing next to a pizza.,A woman in a pink shirt standing next to a pizza.,A man in a black shirt and red shorts poses in front of an open pizza oven.
333630,Male,12.6,THERE IS A MAN THAT IS PLAYING MUSICAL INSTURMENTS ,A group of men standing on top of a wooden floor.,A group of people standing around each other in a room.,A group of people in a room with a wooden floor.,A group of men in costumes performing a trick on a wooden floor.,A room with a wooden floor and a table with a teddy bear on it.
579337,Female,12.6,A woman that is holding a tennis racquet.,A woman swinging a tennis racquet at a ball.,A woman swinging a tennis racquet at a ball.,A woman in red shirt and white shorts playing a game of tennis.,A woman hitting a tennis ball with a racquet.,A person holding a tennis racquet on top of a tennis court.
574825,Female,12.6,Two women in street holding scissors and papers.,Two women standing in the street holding paper bags.,Two women standing in the street holding paper bags.,Two women in black tops and white tops with scissors.,Two women standing next to each other holding paper bags.,A man with a pair of scissors in his hand.
18111,Male,12.6,The batter prepares to run to first base after hitting the ball.,A baseball player running to first base after hitting the ball.,A baseball player running to base while another player slides into the base.,A baseball player is sliding into home plate.,A baseball player is sliding into home plate.,A baseball player throwing a ball on top of a field.
98284,Male,12.6,a young child holding a ball and a catchers mitt.,A young boy holding a glove and a ball.,A young boy holding a glove and a ball.,A young boy in a red shirt holding a brown and white glove.,A young boy in sunglasses and a baseball cap holds a mitt toward the camera.,A young boy is holding a baseball mitt in one hand and a catchers mitt in the other.
417111,Male,12.6,Three men in a booth making juice to sell.,A man standing next to a cart of oranges.,A man is cutting oranges in a market.,Two men in a kitchen with oranges and other fruit.,Two men in a kitchen with oranges and other fruit.,Two women at a fruit stand looking at the fruit.
242208,Female,12.6,A woman is talking on her phone while walking.,A woman talking on a phone while walking down a street.,A woman talking on a phone while standing next to a red bus.,A woman on a cell phone near a bus stop.,A woman on a cell phone on a busy street.,A view of a street with a bus and a car on it.
