image_id,ground_truth_gender,human_reference,generated_text_baseline,generated_text_debiased,gt_captions
368402,Female,The woman in the kitchen is holding a huge pan.,A woman in a kitchen preparing food in a large kitchen.,A woman in a kitchen with a pan of food.,"['The woman in the kitchen is holding a huge pan.', 'A chef carrying a large pan inside of a kitchen.', 'A woman is holding a large pan in a kitchen. ', 'A woman cooking in a kitchen with granite counters.', 'A woman cooking in her kitchen with a black pan.']"
486194,Female,Young woman carrying an opened umbrella in a city neighborhood.,A woman holding a red umbrella on a sidewalk.,A woman holding a red umbrella while standing on a sidewalk.,"['Young woman carrying an opened umbrella in a city neighborhood.', 'A woman walking while holding up a red umbrella ', 'A beautiful young lady walking in the rain while holding an umbrella.', 'A woman holding a red umbrella traveling down a sidewalk.', 'A young woman is carrying a red umbrella.']"
317639,Female,A woman is taking a picture of herself in a bathroom mirror.,Two woman taking pictures of themselves in a bathroom mirror.,A woman taking a picture of herself in a bathroom mirror.,"['A woman is taking a picture of herself in a bathroom mirror.', 'A double sinked bathroom has circular twig wreaths hanging above.', 'The two wreaths were each hung above a sink.', 'A woman taking a selfie in a bathroom with a digital camera.', 'Two wreaths above two sinks in a bathroom']"
400456,Female,A man riding on the back of a brown horse in front of a truck.,A woman riding a horse next to a fence.,A woman riding on the back of a brown horse.,"['A man riding on the back of a brown horse in front of a truck.', 'A woman riding a horse in front of a car next to a fence. ', 'The woman rides on a horse walks in front of the car.', 'Lady on horse in front of barbed wire fence', 'A woman riding a horse in front of a fence with razor wire']"
411564,Male,A man sitting in a window ledge with a cell phone in his hand.,A woman sitting on a kitchen counter looking at a phone.,A woman sitting in a kitchen with a cell phone.,"['A man sitting in a window ledge with a cell phone in his hand.', 'A young man holding a phone perches in a sunny kitchen window sill.', 'A man in a skullcap sits on a window sill.', 'a male is sitting by a window looking at his cellphone', 'A person sitting in a kitchen window looking directly into the camera. ', 'a man sitting in a kitchen winow holding onto a phone']"
360434,Male,a man in red and plack sleeping on a park bench,A woman is sitting on a bench in front of a tree.,A woman is sitting on a park bench.,"['a man in red and plack sleeping on a park bench', 'A man in a red shirt and black pants resting on a bench. ', 'a person laying on a bench in front of a fence', 'Person dressed in black with red shirt laying on a bench.', 'A MAN LAYING DOWN ON A PARK BENCH WITH A FENCE AND STATUE IN THE BACKGROUND ']"
120428,Female,A girl with a drink sitting on the toilet.,A woman sitting on top of a toilet with a bottle of beer.,A woman sitting on a toilet with a bottle of alcohol.,"['A girl with a drink sitting on the toilet.', 'A girl is sitting on the toilet in a bathroom.', 'A woman using the restroom without pants on.', 'this is an image of a woman on the toilet.', 'A lady is sitting on a toilet surrounded by bright pink walls.']"
64088,Female,An older woman walking behind a bus on a city street.,A woman walking down a street next to a bus.,A woman crossing the street in front of a bus.,"['An older woman walking behind a bus on a city street.', 'an older woman walking in the street and a bus ', 'An older woman in the street has a bus with a face advertisement behind her.', 'Woman crossing a city street behind a commercial bus', 'A woman crossing the street behind a bus.']"
567636,Female,A woman standing in a kitchen with her hands clasp together. ,A woman standing in a kitchen with a phone.,A woman standing in a kitchen with a cell phone.,"['A woman standing in a kitchen with her hands clasp together. ', 'An old woman in a kitchen clasping her hands and smiling.', 'A woman is in a kitchen with her hands clasped.', 'a person standing in the kitchen near the sink', 'an old woman smiling in the corner of a kitchen']"
163746,Female,A pretty young girl standing next to another pretty young girl on a beach.,A woman and a girl standing on a beach.,A woman and a child standing on a beach.,"['A pretty young girl standing next to another pretty young girl on a beach.', 'people walking onto the beach from the water', 'Two almost identical photos with some minor cropping show two young girls standing on the coast with people in the water in the background as a plane flies overhead', 'Girls playing on a beach with an airplane flying above them. ', 'people on the beach really close to the water']"
147740,Female,A woman walking while carrying bananas on her hat.,A woman carrying a bunch of bananas on her head.,A woman with a hat on her head walking down the street.,"['A woman walking while carrying bananas on her hat.', 'A woman carrying a bunch of bananas on her head walking down a street.', 'Woman carrying a bunch of bananas on top of her hat. ', 'A woman walks down the street with bananas on her hat', 'A lady walks down the street with bananas on her head']"
312175,Female,A woman standing outside with her black luggage.,A woman standing next to a car trunk with luggage.,A woman standing next to a car with luggage.,"['A woman standing outside with her black luggage.', 'a person with travel luggage next to a car', 'a woman with three pieces of luggage outside', 'Smiling woman standing with luggage in front of her car', 'A woman with three suitcases stands in front of a car.']"
579468,Female,A beautiful woman with a blue fro brushing her teeth with a giant toothbrush.,A woman with a blue wig and a toothbrush in her mouth.,A woman with a blue toothbrush in her mouth.,"['A beautiful woman with a blue fro brushing her teeth with a giant toothbrush.', 'an image of a girl with a blue wig and a tootbrush', 'A young woman with blue hair uses an oversized toothbrush.', 'A woman with blue hair and a giant toothbrush', 'A woman with a blue wig brushes her teeth. ']"
465179,Female,a close up of a person brushing her teeth in the bathroom,A woman is brushing her teeth in front of a mirror.,A woman brushing her teeth in front of a mirror.,"['a close up of a person brushing her teeth in the bathroom', 'A woman is brushing her teeth and posing for a picture.', 'Woman dressed in black, smiling and brushing her teeth', 'The woman brushes her teeth in the bathroom.', 'A beautiful young woman brushing her teeth in a bathroom.']"
529159,Female,A very old picture of a women posing.,A woman in a dress sitting on a chair.,A woman in a dress sitting in a chair.,"['A very old picture of a women posing.', 'Woman sitting beside table posing for picture with a smile.', 'An old photo showing a woman near a clock.', 'A woman is sitting in her chair posing.', 'Woman in big hoop dress sitting down at a chair with a clock. ']"
531967,Female,A beautiful woman sitting on top of a kitchen counter.,A woman is sitting on a kitchen counter.,A woman is sitting on a kitchen counter painting a picture.,"['A beautiful woman sitting on top of a kitchen counter.', 'a lady putting up a poster in her kitchen', 'A young woman hangs up a poster in a kitchen.', 'A woman sitting on a kitchen counter putting something on the wall', 'A woman sitting on a kitchen counter hanging something.']"
60623,Female,A young girl inhales with the intent of blowing out a candle. ,A woman is eating a piece of cake with a candle.,A woman holding a spoon over a cake with candles.,"['A young girl inhales with the intent of blowing out a candle. ', 'A young girl is preparing to blow out her candle.', 'A kid is to blow out the single candle in a bowl of birthday goodness. ', 'Girl blowing out the candle on an ice-cream ', 'A little girl is getting ready to blow out a candle on a small dessert.']"
107304,Female,A woman opening the bathroom door with the room chained off.,A woman is smiling while standing in front of a bathroom mirror.,A woman is standing in front of a bathroom mirror.,"['A woman opening the bathroom door with the room chained off.', 'a woman a bathroom a mirror and a toilet', 'A woman is standing in front of a bathroom door.', 'A girl smiles while standing outside of a bathroom.', 'A lady is posing for the camera with a silly face before heading to the bathroom. ']"
555669,Female,A smiling woman nonetheless cringes as a dog licks her ear. ,A woman sitting on the floor next to a dog.,A woman sitting on a chair next to a black dog.,"['A smiling woman nonetheless cringes as a dog licks her ear. ', 'A man holds a dog as it licks the face of a woman.', 'A woman sitting on the floor while a dog licks her face.', 'A young beautiful woman sitting on a floor next to a black dog.', 'Black dog licking the face of a girl sitting on the floor.']"
389974,Female,A woman cooking with a large white bot and a cooking board with meat in it in a small kitchen.,A woman is preparing a meal in a kitchen.,A woman is preparing food in a kitchen.,"['A woman cooking with a large white bot and a cooking board with meat in it in a small kitchen.', 'A woman preparing food for cooking in her kitchen.', 'A woman in a kitchen preparing a meal.', 'an image of a woman in the kitchen cooking', 'A woman is preparing a meal in a large pot on the stove.']"
208517,Female,A woman with a suitcase holding a phone,A woman standing next to a red suitcase.,A woman with a red suitcase is standing on the sidewalk.,"['A woman with a suitcase holding a phone', 'Woman with cellphone and red suitcase standing in open area.', 'A women holding a red suitcase that has wheels.', 'A young woman stands waiting with her luggage.', 'a woman standing around with a red suitcase ']"
146667,Female,A woman digging through the storage compartment on her moped.,A woman looking at a motorcycle with a helmet on it.,A woman looking at a motorcycle with a helmet on.,"['A woman digging through the storage compartment on her moped.', 'A woman digs under the seat of a moped.', 'A woman looking in the compartment of a moped.', 'A woman puts her market shopping in her motor scooter seat', 'A woman checks out a motorcycle in a parking lot']"
580613,Female,A woman is riding an orange sports motorcycle.,A woman in a yellow dress riding a motorcycle.,A woman riding a motorcycle down a street.,"['A woman is riding an orange sports motorcycle.', 'Large woman on the back of on orange motorcycle. ', 'A woman riding an orange motorcycle on a race track.', 'A large woman is riding a motor bike.', 'A smiling woman on a bright orange motorcycle.']"
290868,Female,A grandmother standing next to a child in a kitchen.,A woman and a child standing in a kitchen.,A woman standing in a kitchen next to a child.,"['A grandmother standing next to a child in a kitchen.', 'An older woman is standing in the kitchen with a child.', 'Baby trying to open wooden cabinets under the sink.', 'The little girl is trying hard to open the cabinets', 'A woman and child stand in the kitchen. ']"
195271,Female,A woman standing in a kitchen holding a jug of milk.,A woman standing in a kitchen with a carton of milk.,A woman standing in a kitchen with a cup of coffee.,"['A woman standing in a kitchen holding a jug of milk.', 'a woman standing in a kitchen holding a carton ', 'A woman in blue jeans stands in a kitchen holding a beverage carton and looking at the camera.', 'Woman pouring a glass of egg nog on the counter.', 'A woman in a kitchen holding a carton.']"
350639,Female,A woman standing in a kitchen preparing food.,A woman standing in a kitchen with a pan of food.,A woman is standing in a kitchen with a blender.,"['A woman standing in a kitchen preparing food.', 'A lady wears an apron when she cooks.', 'A woman in a kitchen with a puzzled look on her face.', 'a woman is in the kitchen backing a recipe', 'A woman with glasses wearing an orange t-shirt stands in a kitchen area.']"
131919,Female,A woman walking a bike next to a river with a boat in it.,A woman riding a bike down a river next to a river.,A woman and a child are on a bicycle in a river.,"['A woman walking a bike next to a river with a boat in it.', 'A woman in a pink shirt walks next to a bike that carries her baby, next to a river.', 'A boat on a river while a woman on a bicycle with a baby stands on the bank.', 'A woman walks a bike along a path next to a river.', 'a female with a small infant riding a bicycle near a boat and river']"
465463,Female,A woman preparing food inside of a kitchen.,A woman is putting a tray of cookies in a bakery.,A woman in a bakery putting a tray of cookies in the oven.,"['A woman preparing food inside of a kitchen.', 'A woman near an open oven filled with trays of food.', 'A woman in front of a oven looking down towards something. ', 'This women is working a her job at her bakery.', 'A woman cleaning items in front of a large oven.']"
507273,Female,A woman putting on a lipstick holding a sharp knife.,A woman in a pink tights is brushing her teeth.,A woman in a pink shirt is taking a picture of herself in a mirror.,"['A woman putting on a lipstick holding a sharp knife.', 'A woman is sitting on a tub putting on lipstick.', 'A girl sits on the edge of a tiled bathtub and holds lipstick to her lips.', 'A woman putting on lipstick while looking at her reflection on a knife.', 'A woman putting on lipstick while looking at her reflection in a knife.', 'A woman putting on lipstick using the knife as a mirror.']"
183905,Female,A girl holding a skewer with a banana on the end.  ,A woman holding a banana in her hands.,A woman holding a banana in her right hand.,"['A girl holding a skewer with a banana on the end.  ', 'The girl in glasses is holding a banana on a stick.', 'Blue and white shirted woman showing off forked fruit. ', 'A woman with a banana on a skewer with trees in back.', 'A woman in glasses is holding a banana on a skewer.']"
459272,Female,A woman holding a smart phone next to a group of people.,A woman holding a cell phone in her hand.,A woman holding a smart phone in her right hand.,"['A woman holding a smart phone next to a group of people.', 'A women wearing a scarf using her cell phone', 'A woman holding a cell phone and standing in a littered field with others.', 'A woman in yellow scarf holding a cellphone.', 'A person on her cell phone in a large crowd of people.']"
291606,Female,A woman standing outside of a metallic bus parked.,A woman is standing in front of a bus.,A woman standing in front of a bus.,"['A woman standing outside of a metallic bus parked.', 'The woman is boarding the city bus during the daytime. ', 'A woman standing outside of a bus with asian characters written on it.', 'A woman is walking by a silver bus.', 'A woman boarding a bus in a Chinese city.']"
61503,Female,A woman standing under an umbrella looking up.,A woman holding an umbrella while standing on a park.,A woman holding an umbrella while standing in a park.,"['A woman standing under an umbrella looking up.', 'An older lady is holding her umbrella, looking away. ', 'A woman in a blue blazer and glasses holds a plaid umbrella and her purse outdoors.', 'a person wearing glasses holding an open umbrella', 'a woman standing with an umbrella over her head ']"
33405,Female,A woman is walking her two dogs on the beach.,A woman and child are standing on a beach.,A woman standing on a wooden pier next to a dog.,"['A woman is walking her two dogs on the beach.', 'A young woman walking her dog along the sea shore.', 'The lady walks a pair of odd-looking dogs along the seashore.', 'A woman on the water with a dog on a leash.', 'A woman is standing on the beach with dogs.']"
212558,Female,A person stopped wearing a yellow jacket riding a motorcycle.,A woman sitting on a motorcycle in front of a car.,A woman sitting on a motorcycle in the rain.,"['A person stopped wearing a yellow jacket riding a motorcycle.', 'female biker sits in traffic awaiting green light', 'a lady sitting on a motor cycle next to a white car', 'A girl stopped at a red light on a motorcycle.', 'a person riding a motorcycle on a city street']"
55375,Female,A woman bathing a baby near a kitchen sink.,A woman is washing a pan in the kitchen.,A woman is cutting a cake in a kitchen.,"['A woman bathing a baby near a kitchen sink.', 'A woman wearing a stripped shirts bathes a baby in the kitchen. ', 'A young mother bathing a newborn on the kitchen counter.', 'Washing a baby in a purpose made basin on a kitchen countertop.', 'A woman bathing a small baby in a kitchen.']"
304749,Female,The woman is taking a picture in the bathroom mirror. ,A woman taking a picture of herself in a mirror.,A woman taking a picture of herself in a bathroom mirror.,"['The woman is taking a picture in the bathroom mirror. ', 'A picture of a woman in a mirror. ', ""A woman's midsection reflected in a round mirror."", ""A circular mirror reflecting a woman's stomach in turquoise shirt."", 'A selfie taken of a person from the neck down. ']"
29833,Female,A woman is holding a small bunch of fruit.,A woman holding a bunch of green bananas.,A woman holding a bunch of bananas in her hands.,"['A woman is holding a small bunch of fruit.', 'A woman with a backpack holding a small bunch of bananas.', 'A woman in a forest holding small green bananas.', 'A woman surrounded by tall green plants and holding a bunch of small bananas.', 'A woman in the woods with a bunch of bananas. ']"
242189,Female,The reflection of a woman carrying a bag over each shoulder in a mirror.,A woman taking a selfie in a public restroom.,A woman taking a picture of herself in a bathroom mirror.,"['The reflection of a woman carrying a bag over each shoulder in a mirror.', 'A woman posing for a photo in a full length mirror', 'A woman standing with a bag in a mirror.', 'A women standing in the bathroom looking in the mirror .', 'A lady holding a bag standing before a large mirror.']"
229481,Female,A woman cooking in a skillet on the stove.,A woman in a kitchen preparing food on a stove.,A woman in a kitchen cooking food on a stove.,"['A woman cooking in a skillet on the stove.', 'a woman standing over a kitchen sink preparing food.', 'A woman in a floral shirt preparing food in a skillet.', 'A woman is standing over a pan of food on the stove.', 'A woman cooking food at a skillet on a stove.']"
404444,Female,A woman kissing a giraffe over a wooden fence.,A giraffe is licking a woman's face.,A giraffe is licking a woman's face in a zoo.,"['A woman kissing a giraffe over a wooden fence.', 'A woman in white shirt kissing the face of a giraffe.', 'A woman is giving a giraffe a kiss.', 'A giraffe sticks its head out of its enclosure to interact with visitors.', 'A woman kissing a big giraffe over a fence.']"
78701,Female,A woman holding a large sheet cake in front of a screen.,A woman holding a cake with a picture of a woman on it.,A woman holding a cake with a picture of a woman holding a clock on it.,"['A woman holding a large sheet cake in front of a screen.', 'A woman in black jacket holding a cake in a white box.', 'She is holding a large cake to congratulate someone.', 'A woman holding a cake contained in a box.', 'A woman holds a large cake with an internet symbol on it.']"
273470,Female,Woman standing behind open refrigerator door in modern kitchen.,A woman is standing in front of a refrigerator.,A woman standing in front of a refrigerator with food.,"['Woman standing behind open refrigerator door in modern kitchen.', 'A woman shows off her well organized refrigerator.', 'A woman showing off a neatly organized refrigerator.', 'A woman is showing how full her refrigerator is .', 'A woman is standing in front of the refrigerator door open. ']"
459400,Male,A person lying down by an open toilet! ,A woman is laying on the floor next to a toilet.,A woman is laying down in a toilet.,"['A person lying down by an open toilet! ', 'A woman curled up on the floor next to a toilet in a bathroom stall.', 'a young person lays down in front of a toilet ', 'A woman curled up around the base of a toilet holding a can.', 'A young male is curled up next to a toilet.']"
154589,Female,A woman standing in a kitchen with a dog.,A woman standing in front of a refrigerator freezer.,A woman standing in front of a refrigerator with a dog.,"['A woman standing in a kitchen with a dog.', 'a person standing in a kitchen in front of a refrigerator', 'Woman poses in front of fridge wearing glasses and with a dog', 'A woman is posing for the camera in front of the fridge. ', 'A woman is smiling next to a refrigerator in a kitchen.']"
580870,Female,A woman standing with her hands on her hips,A woman standing in a kitchen with a cup on her shoulder.,A woman standing in a kitchen with a blender.,"['A woman standing with her hands on her hips', 'A woman standing in a kitchen with her hands on her hips.', 'A woman standing up in a small kitchen.', 'A woman standing in a kitchen with a concerned look on her face.', 'A woman stands in a small kitchenette area.']"
522425,Female,A person in front of a mirror with a toothbrush.,A woman brushing her teeth in front of a mirror.,A woman is looking in the mirror while brushing her teeth.,"['A person in front of a mirror with a toothbrush.', 'A woman is brushing her teeth as she looks in the mirror.', 'a woman with a tooth brush in her mouth stares into a mirror ', 'A woman brushing her teeth while looking in the mirror.', 'a girl looking in the mirror brushing her teeth']"
61862,Female,A person is looking in the mirror of a motor bike,A woman in a motorcycle helmet looking at her cell phone.,A woman in a motorcycle helmet looking at her reflection in a mirror.,"['A person is looking in the mirror of a motor bike', 'A woman looks into the mirror of her motorcycle', 'A young woman taking a photo of herself in the side mirror of a motorcycle parked by an outdoor market. ', 'a close up of a person in the reflection of a mirror', 'a girl looking in a mirror holding a camera']"
500019,Female,A woman with her pants pulled down on the toilet.,A woman is sitting on a bed and cleaning her hands.,A woman is sitting on the floor and cleaning her hands.,"['A woman with her pants pulled down on the toilet.', 'A woman sitting down on a toilet with her pants down.', 'A woman in pink is sitting on a toilet.', 'a woman cupping a cup in both hands with her pants pulled down while sitting on the toilet', 'A woman sitting on the toilet with a cup of coffee.']"
294209,Female,A woman is putting on make up in front of several mirrors.,A woman is getting her hair done in front of a mirror.,A woman is getting her hair done in a mirror.,"['A woman is putting on make up in front of several mirrors.', 'Blonde haired woman in a towel looking in the mirror.', 'Woman in white towel doing her makeup in a bathroom. ', 'A woman stands in front of a mirror and does her make up.', 'A woman putting make up on in a mirror with a towel on.']"
519542,Female,A woman riding on the back of a purple motor scooter.,A woman is standing next to a decorated motorcycle.,A woman is standing on a motorcycle decorated with a flower.,"['A woman riding on the back of a purple motor scooter.', 'A woman in a dress sitting on a motor scooter.', 'An attractive woman smiles and poses with a purple moped.', 'A well dressed girl sitting on a motorbike that is on display.', 'A girl is sitting on motorcycle which is on display.']"
173340,Female,a female in a gray top is holding a cellphone,A woman in a kitchen looking at her cell phone.,A woman in a kitchen holding a smart phone.,"['a female in a gray top is holding a cellphone', 'A photo of a woman standing looking at her phone.', 'A woman is standing in the kitchen using her phone.', 'A woman standing in a room with a cell phone.', 'a person in a kitchen with a cell phone']"
354685,Female,A woman standing next to a standing toilet.,A woman holding a camera in front of a cage.,A woman holding a glass in front of a toilet.,"['A woman standing next to a standing toilet.', 'A woman standing by a floor urinal in a bathroom.', 'A woman is standing beside a toilet set in the floor.', 'a close up of a person near a crouch toilet ', 'A lady is smiling, holding an article of clothing. ']"
199404,Female,A woman is taking a selfie in her bathroom mirror.,A woman taking a selfie in a bathroom.,A woman in a bathroom taking a selfie.,"['A woman is taking a selfie in her bathroom mirror.', 'a curly haired girl with glasses takes a selfie infront of the mirror', 'A woman takes a selfie with her phone in the bathroom mirror.', 'Woman in green and maroon shirt taking a picture of herself. ', 'A person in front of a mirror with a cell phone.']"
84533,Female,A woman dressed in leather poses on a motorcycle.,A woman sitting on a motorcycle in a parking lot.,A woman sitting on a motorcycle in front of a building.,"['A woman dressed in leather poses on a motorcycle.', 'a person sitting on a motorcycle near a building', 'A pretty lady sitting on top of a motorcycle.', 'Woman in fringe jacket sitting atop a motorcycle.', 'A woman wearing black leather sits on her motorcycle.']"
119709,Female,Someone is preparing many donuts at one time. ,A woman is preparing doughnuts on a tray.,A woman is making donuts with icing and sprinkles.,"['Someone is preparing many donuts at one time. ', 'a woman making some doughy pastry circles ', 'A woman doing her job by rolling dough. ', 'A woman rolling out dough and making donuts.', 'Someone rolling out what appears to be doughnuts.']"
49371,Female,A woman riding a biek down a sidewalk.,A woman riding a bike down a street.,A woman riding a bike with a man on the back.,"['A woman riding a biek down a sidewalk.', 'A young woman in black tights rides a bicycle past a poster of a man.', 'A young lady on her bike in a position where a man is kissing her knee. ', 'A young woman on a bicycle with a guy kissing her knee.', 'Girl on a bike and a man in the background crouched']"
117584,Female,there is a female surfer that is riding a small wave ,A woman riding a wave on top of a surfboard.,A woman on a surfboard in the ocean.,"['there is a female surfer that is riding a small wave ', 'A woman riding on top of a wave on a surfboard.', 'A woman that is standing on a surfboard in the water.', 'The girl is riding the small wave on her board ', 'Woman surfing on a small wave in the water.']"
507473,Female,A girl is taking a selfie while brushing her teeth.,A woman taking a selfie in a bathroom mirror.,A woman brushing her teeth in front of a bathroom mirror.,"['A girl is taking a selfie while brushing her teeth.', 'In bathroom taking selfie of herself brushing teeth.', 'A woman taking a picture of herself while brushing her teeth', 'A woman brushing her teeth while taking a selfie ', 'A woman brushing her teeth while taking a picture of herself']"
176793,Female,a beautiful lady with a very nice motor bike,A woman is standing on a motorcycle outside a restaurant.,A woman is standing outside of a motorcycle.,"['a beautiful lady with a very nice motor bike', 'A young woman is sitting on a motorcycle in a parking lot.', 'A girl posed on a motorcycle outside ', 'A woman sits on a red and black motorcycle in front of a building.', 'a person sitting on a motorcycle in front of a building']"
14629,Female,A woman is enjoying a sip of wine while cooking dinner.,A woman is pouring a bottle of wine into a pan.,A woman is pouring a bottle of wine into a glass.,"['A woman is enjoying a sip of wine while cooking dinner.', 'A woman standing at a stove drinking a bottle of white wine.', 'A woman takes a drink out of a bottle while cooking.', 'Woman preparing meal takes sip of wine from bottle.', 'This is a girl wearing an oven mitt drinking wine right out of the bottle.']"
294403,Female,A woman under an umbrella on a rainy day ,A woman holding an umbrella standing on a pier.,A woman holding an umbrella in front of a river.,"['A woman under an umbrella on a rainy day ', 'Woman in a winter jacket standing under an umbrella near a bridge.', 'A woman in a coat with an umbrella on a dock under a bridge', 'A woman wears a tan jacket while holding a black umbrella on a dock.', 'A woman holding an umbrella on a dock.']"
163518,Female,A woman standing in front of a table with lots of salad.,A woman in a kitchen preparing food on a tray.,A woman in a chef outfit preparing salad on a tray.,"['A woman standing in front of a table with lots of salad.', 'A chef playing salad in bowls in a kitchen.', 'THERE IS A CHIEF PUTTING FOOD IN BOWLS ON THE TABLE ', 'The chef is preparing single servings of salad.', 'A woman in a business kitchen preparing salads on a steel table.']"
423123,Female,A woman bending over and looking inside of a mini fridge.,A woman looking inside of a small refrigerator.,A woman is looking at a small refrigerator.,"['A woman bending over and looking inside of a mini fridge.', 'A young oerson is raiding a small fridge in their room.', 'two people bent over to look into a little fridge', ""Two people point at what's in a mini fridge. "", 'A woman is bent over next to a small refrigerator.']"
512166,Female,A woman putting items into a brown paper bag.,A woman putting a bag of food in a paper bag.,A woman putting a sandwich in a paper bag.,"['A woman putting items into a brown paper bag.', 'A woman that is placing things into a brown paper bag.', 'A person taking food out of a brown paper bag. ', 'A woman is packing a take out order in a brown bag.', 'A woman putting food into a paper sack ']"
90255,Female,An old lady smiling in a pink kitchen.,An older woman in a kitchen with a stove and a microwave.,An older woman in a pink sweater in a kitchen.,"['An old lady smiling in a pink kitchen.', 'An elderly woman is standing near the kitchen sink.', 'A woman smiling in her kitchen with the sink behind her. ', 'An older lady in an apron smiling in a kitchen.', 'An older woman is standing in a pink kitchen.']"
258382,Female,a woman walking down the road while holding onto some bags and  an umbrella ,A woman carrying a box of doughnuts on a sidewalk.,A woman carrying an umbrella and a box.,"['a woman walking down the road while holding onto some bags and  an umbrella ', 'A woman running down the street carrying an umbrella.', 'A woman carrying boxes down a brick sidewalk.', 'A woman with her hands full holding an umbrella.', 'Woman carrying containers and an umbrella under her arms. ']"
267683,Female,a woman in kitchen cooking chips in fry,A woman in a kitchen cooking food in an oven.,A woman in a kitchen preparing food in a metal pan.,"['a woman in kitchen cooking chips in fry', 'A woman making fries on a commercial stove in a cafe', 'A woman stands by a deep fryer and a heat lamp in a kitchen. ', 'a female in a gray shirt is working in a kitchen', 'A person working in a kitchen next a fryer and a heat lamp.']"
574769,Female,A woman in a room with a cat.,A woman in a kitchen holding a cat.,A woman in a kitchen holding a cat in her arms.,"['A woman in a room with a cat.', 'A girl smiles as she holds a cat and wears a brightly colored skirt.', 'a woman is holding a cat in her kitchen', 'A woman is working in a kitchen carrying a soft toy.', 'A woman is holding a cat in her kitchen.']"
187791,Female,A woman with a tie and a bag on the street.,A woman in a pink shirt and a tie standing on a sidewalk.,A woman in a pink sweater holding a colorful tie.,"['A woman with a tie and a bag on the street.', 'A woman standing on the sidewalk with a huge, colorful tie on. ', 'Girl standing on street with large pink flower tie on', 'A woman that has a large pink tie standing on a sidewalk.', 'a woman with a tie on standing on a side walk ']"
352703,Female,a lady that is cooking some food on the stove,A woman cooking food on a wooden grill.,A woman in a black hat cooking on a stove.,"['a lady that is cooking some food on the stove', 'A woman puts spices on a skillet of food that is cooking. ', 'A woman adds an ingredient to a dish cooking on a stove.', 'The woman is adding spices to the pan on the stove.', 'A woman prepares food in a wok inside a tent']"
17899,Female,an old woman is in front of some food on a table,An older woman preparing cookies in a kitchen.,An elderly woman preparing cookies in a kitchen.,"['an old woman is in front of some food on a table', 'A person at a table in a room with some food.', 'Woman working with large assortment of baked goods at kitchen table.', 'A woman prepares bread and pastries on a table.', 'An older woman preparing cookies and bread at a table.']"
73182,Female,The people are riding motor cycles down the street.,A man riding a motorcycle down a street.,A woman riding a motorcycle down a street.,"['The people are riding motor cycles down the street.', 'A couple of people wearing helmets while riding motorcycles.', 'A couple of people on motor bikes on a road.', 'Two women are riding motorcycles down the street. ', 'A couple riding on top of bikes down a street.']"
