image_id,ground_truth_gender,human_reference,generated_text_baseline,generated_text_debiased,gt_captions
52087,Male,A man getting a drink from a water fountain that is a toilet.,A man drinking water from a toilet in a bathroom.,A man drinking water from a water fountain.,"['A man getting a drink from a water fountain that is a toilet.', 'A boy drinking water from a toilet water fountain.', 'A young man drinking from a water fountain in the shape of a toilet.', 'A young person has his face close to the toilet bowl.', 'A man taking a drink from a water fountain.']"
573223,Female,A little girl in a public bathroom for kids.,A little girl standing next to a toilet.,A little girl standing next to a toilet in a bathroom.,"['A little girl in a public bathroom for kids.', 'A girl standing next to a toilet in a bathroom.', 'Little girl in blue dress standing in a bathroom. ', 'An adorable little girl in a blue dress stands in a restroom.', 'A little girl in a blue dress stands in a bathroom.']"
571970,Male,a man with a bike at a marina,A man is riding a bicycle past a marina.,A man is sitting on a bike next to a marina.,"['a man with a bike at a marina', 'A man stands next to his bike at the marina.', 'an old man standing next to a bike and a chain fence.', 'A man holding some break standing by a bicycle.', 'A man who is standing next to his bicycle.']"
107990,Male,A small child climbs atop a large motorcycle,A small child sitting on a motorcycle in front of a building.,A little boy sitting on a motorcycle in front of a building.,"['A small child climbs atop a large motorcycle', 'A young boy riding a motorcycle next to a silver car.', 'A little baby is sitting on a huge motorcycle.', 'A little boy sitting alone on a motorcycle.', 'A toddler sitting on a motorcycle in a parking lot.']"
410627,Male,The young man is stirring his pot of food with a wooden spoon.,A man is smiling while he stirs a pot.,A man is smiling while he stirs a pot of food.,"['The young man is stirring his pot of food with a wooden spoon.', 'A man enjoys cooking food in a pan', 'A smiling man is cooking in his kitchen.', 'A man smiles as he stirs his food in the pot.', 'A boy smiles while holding a pot and spoon.']"
22793,Female,A public bathroom with a bunch of urinals.,A bathroom with urinals and a picture hanging on the wall.,A bathroom with a urinal and a mirror above it.,"['A public bathroom with a bunch of urinals.', 'A picture of a woman hangs on the wall above the urinals.', ""A men's restroom with a poster of a woman over the urinals."", 'White tiled bathroom with line of tiles and Asian female poster on the wall', 'A mens restroom is lined up with urinals.']"
368402,Female,The woman in the kitchen is holding a huge pan.,A woman in a kitchen preparing food in a large kitchen.,A woman in a kitchen with a pan of food.,"['The woman in the kitchen is holding a huge pan.', 'A chef carrying a large pan inside of a kitchen.', 'A woman is holding a large pan in a kitchen. ', 'A woman cooking in a kitchen with granite counters.', 'A woman cooking in her kitchen with a black pan.']"
538092,Male,A man standing in a kitchen while closing a cupboard door.,A man standing in a kitchen next to a  refrigerator.,A man standing in a kitchen next to a refrigerator.,"['A man standing in a kitchen while closing a cupboard door.', 'A man standing in kitchen surrounded by items.', 'A kitchen area with a cooler and container stacked on the floor and a man getting an item out of a cabinet.', 'A man holding a cabinet in a kitchen.', 'a man stocking up his kitchen with groceries']"
455384,Male,A delivery truck with an advertisement for Entourage.,A delivery truck with an advertisement for an ad for a television show.,A delivery truck with an advertisement for a television show.,"['A delivery truck with an advertisement for Entourage.', 'A large van features an ad for a television show.', 'A truck with an ad for a television show painted on its side', ""A large delivery truck with an advertisement painted on it's side."", 'An entourage decorated van is parked on the side of the road.  ']"
482917,Male,"A dog sitting between its masters feet on a footstool watching tv
",A dog is sitting on the floor watching television.,A dog is sitting on a person's legs watching television.,"['A dog sitting between its masters feet on a footstool watching tv\n', 'A dog between the feet of a person looking at a TV.', 'A dog and a person are watching television together.', 'A person is sitting with their dog watching tv.', 'A man relaxing at home, watching television with his dog.']"
475593,Female,Women father around a desk and machinery in a factory.,Two women in a kitchen preparing food in a large room.,Two women in uniforms standing in a kitchen.,"['Women father around a desk and machinery in a factory.', 'A photo set of two women at work', 'Women working in a commercial bakery or kitchen.', 'Two old photos with women in a kitchen.', 'two women in white work at an industrial kitchen counter and stove']"
486194,Female,Young woman carrying an opened umbrella in a city neighborhood.,A woman holding a red umbrella on a sidewalk.,A woman holding a red umbrella while standing on a sidewalk.,"['Young woman carrying an opened umbrella in a city neighborhood.', 'A woman walking while holding up a red umbrella ', 'A beautiful young lady walking in the rain while holding an umbrella.', 'A woman holding a red umbrella traveling down a sidewalk.', 'A young woman is carrying a red umbrella.']"
236148,Male,An older man backing up a truck with a bicycle in it's flat bed.,A man in a truck with his head out the window.,A man in a truck with a dog in the back.,"[""An older man backing up a truck with a bicycle in it's flat bed."", 'A man looking out the back window of his truck.', 'A man sits in the drivers seat of a truck.', 'A man in a truck looks out his rear window.', 'A man in a truck looking behind him.']"
115930,Male,A group of men standing in front of a bar having a conversation.,A group of men standing around a kitchen talking.,A group of men standing around a kitchen preparing food.,"['A group of men standing in front of a bar having a conversation.', 'Restaurant staff taking a break near the bar.', 'Several men having a conversation at a restaurant.', 'Three workers at a restaurant visiting with each other and customers.', 'Three chefs talking to each other at a bar.']"
427091,Male,City traffic and pedestrians are headed in multiple directions on the street.,A taxi cab is stopped at a red light.,A taxi cab is stopped at an intersection in New York City.,"['City traffic and pedestrians are headed in multiple directions on the street.', 'A city street busy with many cars driving as well as pedestrians', 'People in a city cross in front of traffic. ', 'Traffic in New York City during the day. ', 'Cars stopped on a busy street while pedestrians cross.']"
263664,Male,A couple on a motorcycle in front of a bus and a metermaid car,A bus with a bicycle on the front of it.,A bus with a man on it and a man on a bike.,"['A couple on a motorcycle in front of a bus and a metermaid car', 'A busy city street with a bus, taxi, and motorcycle.', 'A bus, riksha, and two men on a scooter all on the same road. ', 'Buses and motorcycles driving down a city street.', 'Two people riding on a moped with a bus in the next lane.']"
450308,Male,A man stands with his bike in ankle deep water in a flooded city.,A man riding a bike through a flooded street.,A man riding a bike in the middle of a flooded street.,"['A man stands with his bike in ankle deep water in a flooded city.', 'A man on a bike in a street that is flooded.', 'A man on a bicycle stands in flooding waters.', 'A man in shorts sits on his bike, surrounded by flood water up to his calf. ', 'A boy sits on a bicycle in a flooded street.']"
408364,Male,A young man standing next to a race car with the red sox logo on it's hood.,A young boy in a red shirt holding a red and white car.,A young boy in a red car holding a red and white checkered baseball bat.,"[""A young man standing next to a race car with the red sox logo on it's hood."", 'A young boy standing in front of a sponsored car.', 'A man standing near a red sox nascar', 'A young boy  standing by a Red Sox car wearing Red Sox shirt and visor', 'A young man standing next to a racecar on a display lot.']"
317639,Female,A woman is taking a picture of herself in a bathroom mirror.,Two woman taking pictures of themselves in a bathroom mirror.,A woman taking a picture of herself in a bathroom mirror.,"['A woman is taking a picture of herself in a bathroom mirror.', 'A double sinked bathroom has circular twig wreaths hanging above.', 'The two wreaths were each hung above a sink.', 'A woman taking a selfie in a bathroom with a digital camera.', 'Two wreaths above two sinks in a bathroom']"
393569,Female,A young woman using a laptop computer while sitting on a bunk bed.,A person is sitting in a bathroom with a laptop.,A person in a bathroom with a laptop.,"['A young woman using a laptop computer while sitting on a bunk bed.', 'A person that is sitting in a bed facing out.', 'A young girl sits in the bottom bunk of her bunkbed.', 'A bedroom with bunk beds and the bathroom next door.', 'Three people live in one room who share a bathroom.']"
477016,Female,A young child stands in the kitchen with an adult.,Two children looking at toys in a kitchen.,Two children looking at a toy fish tank.,"['A young child stands in the kitchen with an adult.', 'A girl observes a life size toy kitchen.', 'A child standing in front of a toy dishwasher.', 'A child standing in front of a fake appliance. ', 'A child and adult are in a play kitchen.']"
43098,Male,A man is walking down the street in front of a red door.,A man walking past a blue door with a suitcase on it.,A man is walking past a blue suitcase on the sidewalk.,"['A man is walking down the street in front of a red door.', 'A man walking on the sidewalk next to a suitcase leaning against a lamp.', 'A man walking down the sidewalk, and a blue briefcase in front of a post.', 'A blue suitcase is leaning against a post on the street while a man walks by.', 'A man walking past a suitcase and street lamp']"
369763,Male,A polie officer standing next to a  motorcycle parked on the street.,A man standing next to a motorcycle on a street.,A man standing next to a motorcycle in front of a building.,"['A polie officer standing next to a  motorcycle parked on the street.', 'A scene depicting a man sitting down on a curb and a motor cop writing a ticket', 'A man and police officer on the sidewalk next to a motorcycle.', 'A man sitting on a curb with a police officer behind him. ', 'A motorcycle police officer is writing a ticket.']"
262594,Male,People standing on a roadway next to a vintage motorcycle.,A man standing next to a parked motorcycle.,A man standing next to a motorcycle with a side car.,"['People standing on a roadway next to a vintage motorcycle.', 'A small group of people standing around a small motor bike.', 'A man standing next to a motorcycle on asphalt.', 'A person holding upright an older motorcycle that looks to be retrofitted.', 'A person standing beside a unique moped on a street.']"
90732,Female,A little girl is mixing in a  kitchen bowl while standing on a chair.,A little girl is standing on a chair in the kitchen.,A little girl standing in front of a sink in a kitchen.,"['A little girl is mixing in a  kitchen bowl while standing on a chair.', 'A young girl dressed in pink standing on a chair stirring a bowl.', 'A girl in a kitchen on a booster stool washing dishes.', 'A young child standing on a chair mixing in a bowl', 'A little girl standing on a chair mixing something in a bowl.']"
364113,Female,Two people riding different colored horses down a dirty road.,Two people riding horses through a dirt road.,Two people riding horses down a dirt road.,"['Two people riding different colored horses down a dirty road.', 'Two people riding horses along  a trail', 'Two people riding horses along a scenic trail.', 'A woman in orange and a woman in pink riding horses. ', 'Two helmeted riders proceed down a dirt path on horseback.']"
494629,Male,A man sits on a toilet while working on his computer at his desk.,A man sitting on a toilet with a computer.,A man sitting on a chair using a computer.,"['A man sits on a toilet while working on his computer at his desk.', 'A man sitting on a toilet in front of the computer.', 'A man sitting on a chair in front of a computer. ', 'a person sitting on a toilet while operating a computer', 'A man sitting on a toilet in front of a large computer monitor.']"
146961,Male,A man is cooking in a crowded kitchen.,A man is preparing food in a kitchen.,A man standing in a kitchen preparing food.,"['A man is cooking in a crowded kitchen.', 'A man cooking in the kitchen in front of the stove. ', 'A man standing in a kitchen preparing food.', 'A man in the kitchen preparing food for dinner ', 'Man preparing dinner in the kitchen with under cabinet lights on.']"
424378,Male,A man with glasses riding in a car with an adorable dog in the backseat.,A man sitting in a car with a dog in his side view mirror.,A man sitting in a car with a dog.,"['A man with glasses riding in a car with an adorable dog in the backseat.', 'A man driving with his dog in the back seat.', 'A man driving  a car with his dog in the back seat.', 'A man driving with his dog in the backseat', 'A man is driving with his dog in the back seat. ']"
400456,Female,A man riding on the back of a brown horse in front of a truck.,A woman riding a horse next to a fence.,A woman riding on the back of a brown horse.,"['A man riding on the back of a brown horse in front of a truck.', 'A woman riding a horse in front of a car next to a fence. ', 'The woman rides on a horse walks in front of the car.', 'Lady on horse in front of barbed wire fence', 'A woman riding a horse in front of a fence with razor wire']"
521906,Male,A man wearing a striped suit standing next to butcher knives.,A man in a striped shirt holding a knife in his hand.,A man holding a knife in his hand while wearing a scarf.,"['A man wearing a striped suit standing next to butcher knives.', 'A man in the kitchen putting a bottle in his blazer pocket.', 'A man putting a bottle in his jacket in the kitchen. ', 'A man is putting something in his jacket by knives.', 'A man putting something in his pinstripe jacket by knives.']"
411564,Male,A man sitting in a window ledge with a cell phone in his hand.,A woman sitting on a kitchen counter looking at a phone.,A woman sitting in a kitchen with a cell phone.,"['A man sitting in a window ledge with a cell phone in his hand.', 'A young man holding a phone perches in a sunny kitchen window sill.', 'A man in a skullcap sits on a window sill.', 'a male is sitting by a window looking at his cellphone', 'A person sitting in a kitchen window looking directly into the camera. ', 'a man sitting in a kitchen winow holding onto a phone']"
332653,Male,A man stands next to a motorbike on some pavement.,A man standing next to a motorcycle in a driveway.,A man standing next to a motorcycle in a vintage photo.,"['A man stands next to a motorbike on some pavement.', 'A man standing in front of a motorcycle on a driveway.', 'A man poses next to his motorcycle in a vintage picture.', 'A man is posing with his motorcycle in the driveway.', 'A man standing outside next to a motorcycle.']"
262514,Female,A display of a toilet and sink in a store. ,A table with a coffee maker on it in a store.,A table with a toilet and a display case.,"['A display of a toilet and sink in a store. ', 'Toilet and sink on display in a furniture store', 'A toilet with a sink on the back is displayed.', 'A store filled with bathroom equipment and accessories.', 'a white toilet with a brown lid and a sink behind it']"
208169,Male,A large number of people riding motorcycles down the road.,A large group of motorcyclists are riding down the street.,A large group of people on motorcycles on a street.,"['A large number of people riding motorcycles down the road.', 'A lot of motorcycles and riders in formation riding down the street.', 'A group of motorcycle riders going through the street. ', 'Large number of motorcycles riding down a city street.', 'A large group of motorcyclists are driving down a wide road.']"
173008,Male,A man in a tropical print shirt with glasses and long hair is eating a banana.,A man standing in a kitchen next to a counter.,A man standing in a kitchen with a plate of food.,"['A man in a tropical print shirt with glasses and long hair is eating a banana.', 'A man wearing a Hawaiian shirt eats a banana instead of pastries.', 'Man taking a bite of a half peeled banana. ', 'a person eating a banana in a kitchen', 'A man eating a banana at a kitchen counter.']"
391837,Male,A man sitting on a motorcycle posing in front of a bay. ,A man sitting on a motorcycle in front of a lake.,A man sitting on a motorcycle in front of a bridge.,"['A man sitting on a motorcycle posing in front of a bay. ', 'A man poses on his motorcycle in front of the Golden Gate bridge.', 'Man sits on his parked motorcycle with body of water and bridge behind him. ', 'A man sitting on a motorcycle with a large body of water and mountains behind him', 'A man in posing with a motorcycle in front of a bay']"
190829,Male,Separate men sitting on park benches playing on phone and reading.,Two men sitting on a bench in front of a building.,Two men sitting on a bench in front of a tree.,"['Separate men sitting on park benches playing on phone and reading.', 'Two men sit on park benches in a city street scene.', 'A park offers fresh air and a place to perch while reading or interacting with a phone. ', 'Two men, one reading, one on his phone, sit on park benches near a flower bed.', 'Two men sitting on separate city benches at a park.']"
360434,Male,a man in red and plack sleeping on a park bench,A woman is sitting on a bench in front of a tree.,A woman is sitting on a park bench.,"['a man in red and plack sleeping on a park bench', 'A man in a red shirt and black pants resting on a bench. ', 'a person laying on a bench in front of a fence', 'Person dressed in black with red shirt laying on a bench.', 'A MAN LAYING DOWN ON A PARK BENCH WITH A FENCE AND STATUE IN THE BACKGROUND ']"
298784,Male,A man walking his bike past a wooden boat.,A man riding a bike down a street next to a crowd of people.,A man riding a bike with a dog on the back.,"['A man walking his bike past a wooden boat.', 'A motorboat is towed through a crowd of bicyclists. ', 'Small fishing boat is sitting on a busy city street. ', 'A group of people are standing with bicycles in a crowd.', 'A man not moving on his bicycle in a crowd.']"
120428,Female,A girl with a drink sitting on the toilet.,A woman sitting on top of a toilet with a bottle of beer.,A woman sitting on a toilet with a bottle of alcohol.,"['A girl with a drink sitting on the toilet.', 'A girl is sitting on the toilet in a bathroom.', 'A woman using the restroom without pants on.', 'this is an image of a woman on the toilet.', 'A lady is sitting on a toilet surrounded by bright pink walls.']"
64088,Female,An older woman walking behind a bus on a city street.,A woman walking down a street next to a bus.,A woman crossing the street in front of a bus.,"['An older woman walking behind a bus on a city street.', 'an older woman walking in the street and a bus ', 'An older woman in the street has a bus with a face advertisement behind her.', 'Woman crossing a city street behind a commercial bus', 'A woman crossing the street behind a bus.']"
263163,Male,A man sits on a bench in a no smoking area,A man sitting on a bench in front of a building.,A man sitting on a bench with a backpack.,"['A man sits on a bench in a no smoking area', 'A man sits and waits on a bench by a no smoking sign', 'A person with a back pack sitting alone on a bench.', 'A man sitting on a bench with his backpack next to him.', 'A person sitting on as bench with a backpack.']"
89281,Male,a close up of a person cleaning a toilet,A man is cleaning a toilet with a brush.,A man is cleaning a toilet with a red brush.,"['a close up of a person cleaning a toilet', 'a man is cleaning a black toilet seat', 'a man throwing a white piece of paper into a black seated toilet.', 'Picture of man with rather big nose smiling.', 'The man is holding paper over the toilet.']"
538319,Male,a man on skis holds onto the hands of a small girl on skis,A group of people riding skis down a snow covered slope.,A man and a little girl are skiing.,"['a man on skis holds onto the hands of a small girl on skis', 'three adults and one child skiing on a snow covered ski slope.', 'Several adults and a child are skiing along on a flat snowy patch.', 'People are snow skiing with a little baby in hand.', 'Group of people helping a small child ski on a snow trail. ']"
484531,Male,A young man stands by two red motorcycles.,A man in a red jacket and black pants stands next to a red motorcycle.,A man in a red motorcycle suit and a woman in a red motorcycle suit.,"['A young man stands by two red motorcycles.', 'A motorcycle and a man are matching in red.', 'A man standing next to a red motorcycle on a stone walkway.', 'A young man posing beside his red racing motorcycle.', 'This is an image of a man next to a motorcycle.']"
559303,Male,A man is lounging on a motorcycle while parked alongside the road.,A man sitting on a motorcycle on a city street.,A man sitting on a motorcycle with a basket on the back.,"['A man is lounging on a motorcycle while parked alongside the road.', 'A man lounges sitting backways on a motor bike reading.', 'A man laying on top of a motorcycle on a side walk.', 'A man sitting backwards on a parked motorcycle.', 'A man who is laying on a parked motorcycle.']"
118097,Male,A man thinks as he stands in front of a sign.,A man in a tie and a sign in front of him.,A man in a tie holding a sign in front of him.,"['A man thinks as he stands in front of a sign.', 'A man standing in front of a board that says ""Who do you think you are?""', 'Man looking up near words Who do you think you are?', 'Man in front of a sign about ""Who do you think you are?""', 'A man rolls his eyes next to a sign that says Who do you think you are?']"
490847,Male,A man riding a bike on a dirt path through a forest.,A man riding a bike on a dirt road.,A man on a bicycle is making a funny face.,"['A man riding a bike on a dirt path through a forest.', 'Bicyclist raises his fist as he rides on desert dirt trail.', 'This dirt bike rider is smiling and raising his fist in triumph.', 'A man riding a bicycle while pumping his fist in the air.', 'A mountain biker pumps his fist in celebration.']"
567636,Female,A woman standing in a kitchen with her hands clasp together. ,A woman standing in a kitchen with a phone.,A woman standing in a kitchen with a cell phone.,"['A woman standing in a kitchen with her hands clasp together. ', 'An old woman in a kitchen clasping her hands and smiling.', 'A woman is in a kitchen with her hands clasped.', 'a person standing in the kitchen near the sink', 'an old woman smiling in the corner of a kitchen']"
554433,Male,A foot ball fan is showing off his team spirit,A man in a hat and a man in a costume stand in front of a counter.,A man in a hat and a man in a t-shirt stand in front of a counter with a pizza sign.,"['A foot ball fan is showing off his team spirit', 'A chef with a mustache standing by a stove', 'A man with a huge mustache next to a large metal pot in a kitchen.', 'A man dressed in uniform with a fake mustache.', 'A mustached man is standing in front of a larger mustache. ']"
163746,Female,A pretty young girl standing next to another pretty young girl on a beach.,A woman and a girl standing on a beach.,A woman and a child standing on a beach.,"['A pretty young girl standing next to another pretty young girl on a beach.', 'people walking onto the beach from the water', 'Two almost identical photos with some minor cropping show two young girls standing on the coast with people in the water in the background as a plane flies overhead', 'Girls playing on a beach with an airplane flying above them. ', 'people on the beach really close to the water']"
253986,Female,Two women sitting on benches in an outdoor setting.,Two women sitting on a bench in a park.,A woman sitting on a wooden bench next to another woman.,"['Two women sitting on benches in an outdoor setting.', 'People are sitting on park benches on a cement area.', 'two women sitting on benches one with a black shirt the other blue', 'A person sitting on the bench in the park', 'A group of park benches occupied by people sitting on them']"
99518,Male,A mean leaning against a metal rail next to an airport.,A man standing on a walkway next to a row of parked planes.,A man standing on a walkway next to a row of parked airplanes.,"['A mean leaning against a metal rail next to an airport.', 'A man is standing at a railing overlooking a tarmac.', 'A man standing at a railing overlooking an airstrip.', 'A man standing on a balcony overlooking an airport.', 'Several men and women standing on a balcony watching planes on a runway.']"
