image_id,ground_truth_gender,detected_gender,gt_captions,generated_text
193622,Male,Male,"['A man sits with a traditionally decorated cow', 'A decorative man sits on the ground with a cow.', 'A man sits next to his horse in an alley in costume.', 'Guy and cow are sitting on the floor ', 'An Indian man in religious attire sitting with a decorated cow.']",A man sitting on a white horse next to a building.
52087,Male,Male,"['A man getting a drink from a water fountain that is a toilet.', 'A boy drinking water from a toilet water fountain.', 'A young man drinking from a water fountain in the shape of a toilet.', 'A young person has his face close to the toilet bowl.', 'A man taking a drink from a water fountain.']",A man is using a toilet with a green lid.
573223,Female,Female,"['A little girl in a public bathroom for kids.', 'A girl standing next to a toilet in a bathroom.', 'Little girl in blue dress standing in a bathroom. ', 'An adorable little girl in a blue dress stands in a restroom.', 'A little girl in a blue dress stands in a bathroom.']",A little girl standing next to a white toilet.
402514,Male,Male,"['A picture of a man playing a violin in a kitchen.', 'A man is playing violin in his kitchen', 'A man is playing a fiddle in his kitchen.', 'A man plays the violin in a home.', 'An old man playing violin in a kitchen.']",A man playing a violin in a kitchen.
93437,Male,Male,"['A shot of an elderly man inside a kitchen.', 'An old man is wearing an odd hat', 'An older man is wearing a funny hat in his dining room.', 'A man in a jacket and hat looks at the camera.', 'An old man standing in a kitchen posing for a picture.']",A man in a leather jacket and a hat on a cell phone.
407286,Female,None,"[""A trio of dogs sitting in their owner's lap in a red convertible."", ""Three little dogs looking out a car window while sitting on a woman's lap. "", 'A woman driver has three dogs in the seat with her.', 'A woman and her three dogs in a car.', ""Three dogs on the lap of a woman in the driver's seat of a convertible.""]",A group of dogs in the back of a car.
571970,Male,None,"['a man with a bike at a marina', 'A man stands next to his bike at the marina.', 'an old man standing next to a bike and a chain fence.', 'A man holding some break standing by a bicycle.', 'A man who is standing next to his bicycle.']",A bicycle with a purse on it parked next to a waterway.
139011,Female,None,"['People are waiting for the bus near a bus stop.', 'A crowd of people are waiting to get on a red bus.', 'A crowd of people get ready to board a bus in the city.', 'Large group of people waiting for a train.', 'People are waiting in a city area to board a bus.']",A bus traveling down a street with a red sign.
223747,Male,Male,"['a man sleeping with his cat next to him', 'A young man and his cute cat enjoy a nap together.', 'A man is sleeping with his head on a pillow.', 'Man sleeping in his bedroom next to a cat.', 'Man sleeping next to a cat on a bed. ']",A man laying on a bed with a cat.
107990,Male,Neut,"['A small child climbs atop a large motorcycle', 'A young boy riding a motorcycle next to a silver car.', 'A little baby is sitting on a huge motorcycle.', 'A little boy sitting alone on a motorcycle.', 'A toddler sitting on a motorcycle in a parking lot.']",A small child on a small motorcycle in a room.
5247,Male,Male,"['A black and white photo of an older man skiing.', 'Two people on the snow for cross country skiing.', 'The old man cross country skis through the forest.', 'A younger man and an older man skiing in the forest.', 'Two people on skis going through the woods.\n']",A man with a beard is skiing in the snow.
410627,Male,Male,"['The young man is stirring his pot of food with a wooden spoon.', 'A man enjoys cooking food in a pan', 'A smiling man is cooking in his kitchen.', 'A man smiles as he stirs his food in the pot.', 'A boy smiles while holding a pot and spoon.']",A man is cooking in the kitchen with a pot on the stove.
22793,Female,Male,"['A public bathroom with a bunch of urinals.', 'A picture of a woman hangs on the wall above the urinals.', ""A men's restroom with a poster of a woman over the urinals."", 'White tiled bathroom with line of tiles and Asian female poster on the wall', 'A mens restroom is lined up with urinals.']",A bathroom with urinals and a picture of a man hanging on the wall.
436456,Male,Neut,"['The airplane is on the runway with two young men standing by.', 'Two men walking the tarmac of an airport.', 'Two men at on an airport tarmac. \n', 'Two young men walking down a runway toward an airplane.', 'Young men are preparing to board a small passenger plane.']",A group of people walking towards a white airplane.
368402,Female,Female,"['The woman in the kitchen is holding a huge pan.', 'A chef carrying a large pan inside of a kitchen.', 'A woman is holding a large pan in a kitchen. ', 'A woman cooking in a kitchen with granite counters.', 'A woman cooking in her kitchen with a black pan.']",A woman in a kitchen with a pan on the stove.
